Category,Item,Price (₹)
Produce,Organic Avocado,120
Produce,Organic Spinach,40
Produce,Fresh Coriander (Dhania),15
Dairy & Alternatives,Almond Milk,165
Dairy & Alternatives,Free-Range Eggs,90
Dairy & Alternatives,Greek Yogurt,95
Dairy & Alternatives,Pure Cow Ghee,320
Bakery,Whole Grain Bread,45
Meat & Seafood,Atlantic Salmon Fillet,575
Grains,Quinoa,140
Staples,Basmati Rice,125
Staples,Sona Masoori Rice,110
Staples,Wheat Flour (Atta),85
Staples,Rava/Sooji (Semolina),60
Staples,Besan (Gram Flour),75
Staples,Poha (Flattened Rice),55
Staples,Rock Salt (Sendha Namak),35
Staples,Jaggery (Gur),65
Staples,Maida (Refined Flour),45
Staples,Rice Flour,60
Staples,Corn Flour,55
Staples,Sabudana (Tapioca Pearls),85
Pulses,Toor Dal (Yellow Split Pigeon Peas),90
Pulses,Chana Dal (Split Bengal Gram),70
Pulses,Moong Dal (Yellow Split Gram),85
Pulses,Urad Dal (Black Gram),95
Pulses,Rajma (Kidney Beans),125
Pulses,Masoor Dal (Red Lentils),95
Pulses,Kabuli Chana (Chickpeas),140
Spices,Turmeric Powder,55
Spices,Garam Masala,65
Spices,Mustard Seeds,30
Spices,Cumin Seeds,65
Spices,Green Cardamom,185
Spices,Cinnamon Sticks,110
Spices,Red Chili Powder,60
Spices,Coriander Powder,45
Spices,Fennel Seeds,75
Spices,Fenugreek Seeds,45
Spices,Carom Seeds (Ajwain),60
Spices,Chaat Masala,65
Spices,Sambar Powder,75
Spices,Kasuri Methi (Dried Fenugreek Leaves),65
Oils & Condiments,Coconut Oil,185
Oils & Condiments,Mustard Oil,165
Oils & Condiments,Sesame Oil,225
Oils & Condiments,Groundnut Oil,195
Oils & Condiments,Sunflower Oil,150
Beverages,Premium Darjeeling Tea,135
Beverages,Instant Coffee,245
Beverages,Green Tea,175
Dry Fruits & Nuts,Cashews,450
Dry Fruits & Nuts,Almonds,475
Dry Fruits & Nuts,Raisins,130
Dry Fruits & Nuts,Dates,210
Condiments,Ginger Garlic Paste,60
Condiments,Pickle (Mixed Vegetable),95
Condiments,Tamarind Paste,120
Condiments,Tomato Ketchup,85
Condiments,Vinegar,65
Condiments,Mayonnaise,110
Ready-Made,Maggi Noodles,15
Ready-Made,Papad,45
